1,1,1
2,121,121
3,269,269
4,270,271
5,290,292
6,430,430
7,752,752
8,786,786
9,837,837
10,1051,1051
11,1097,1097
12,1354,1354
13,1448,1448
14,1458,1459
15,1791,1791
16,1865,1865
17,1898,1898
18,1901,1902
19,1991,1991
20,2349,2349
21,2439,2439
22,2448,2449
23,2518,2518
24,2560,2560
25,2570,2571
26,2852,2852
27,3072,3072
28,3375,3375
29,3401,3402
30,3604,3604
31,3647,3647
32,3825,3825
33,3826,3827
34,3841,3843
35,3965,3965
36,4010,4010
37,4248,4248
38,4256,4257
39,4328,4328
40,4374,4374
41,4433,4433
42,4444,4445
43,4579,4579
44,4594,4595
45,4604,4606
46,4742,4742
47,5062,5062
48,5256,5256
49,5287,5288
50,5306,5307
51,5337,5339
52,5517,5517
53,5540,5541
54,5570,5572
55,5701,5701
56,5767,5767
57,5826,5826
58,5832,5833
59,6063,6063
60,6104,6104
61,6123,6124
62,6126,6128
63,6163,6165
64,6213,6215
65,6248,6249
66,6270,6272
67,6312,6314
68,6315,6318
69,6327,6331
70,6359,6363
71,6466,6468
72,6476,6477
73,6477,6479
74,6515,6518
75,7010,7010
76,7049,7049
77,7371,7371
78,7650,7650
79,7746,7746
80,7842,7842
81,7876,7876
82,7946,7946
83,7950,7951
84,8189,8189
85,8221,8222
86,8230,8232
87,8530,8530
88,8606,8606
89,8636,8637
90,8644,8645
91,8666,8668
92,8786,8786
93,8903,8903
94,8981,8981
95,9074,9074
96,9123,9123
97,9209,9209
98,9710,9710
99,9863,9863
100,9969,9969
