generation: 4700, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 4800, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 4900, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5000, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5100, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5200, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5300, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5400, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5500, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5600, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5700, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5800, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 5900, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 6000, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 6100, power_min: 45.54015, power_avg: 46.03321, power_max: 46.03819, util_min: 2.9784, util_avg: 2.99043, util_max: 2.99055
generation: 6200, power_min: 45.54015, power_avg: 45.94356, power_max: 46.03819, util_min: 2.9784, util_avg: 2.98824, util_max: 2.99055
generation: 6300, power_min: 44.43023, power_avg: 45.56889, power_max: 46.03819, util_min: 2.9784, util_avg: 2.97964, util_max: 3.00548
generation: 6400, power_min: 44.43023, power_avg: 45.14058, power_max: 45.54015, util_min: 2.9784, util_avg: 2.98815, util_max: 3.00548
generation: 6500, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 6600, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 6700, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 6800, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 6900, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7000, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7100, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7200, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7300, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7400, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7500, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7600, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7700, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7800, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 7900, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8000, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8100, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8200, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8300, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8400, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8500, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8600, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
