generation: 5100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 5900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 6900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 7900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 8900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 9900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10400, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10500, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10600, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10700, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10800, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 10900, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 11000, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 11100, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 11200, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
generation: 11300, power_min: 400.506, power_avg: 400.506, power_max: 400.506, util_min: 3.99, util_avg: 3.99, util_max: 3.99
